"city","avg"
"A Corua (La Corua)",11.0000000000000000
"Abha",9.0000000000000000
"Abu Dhabi",8.0000000000000000
"Acua",7.0000000000000000
"Adana",13.0000000000000000
"Addis Abeba",11.0000000000000000
"Aden",10.0000000000000000
"Adoni",8.0000000000000000
"Ahmadnagar",13.0000000000000000
"Akishima",7.0000000000000000
"Akron",7.0000000000000000
"Alessandria",9.0000000000000000
"Allappuzha (Alleppey)",9.0000000000000000
"Allende",10.0000000000000000
"Almirante Brown",8.0000000000000000
"Alvorada",11.0000000000000000
"Ambattur",6.0000000000000000
"Amersfoort",9.0000000000000000
"Amroha",9.0000000000000000
"Angra dos Reis",7.0000000000000000
"Anpolis",7.0000000000000000
"Antofagasta",12.0000000000000000
"Aparecida de Goinia",9.0000000000000000
"Apeldoorn",15.0000000000000000
"Araatuba",10.0000000000000000
"Arak",11.0000000000000000
"Arecibo",11.0000000000000000
"Arlington",10.0000000000000000
"Ashdod",7.0000000000000000
"Ashgabat",8.0000000000000000
"Ashqelon",6.0000000000000000
"Asuncin",10.0000000000000000
"Athenai",7.0000000000000000
"Atinsk",13.0000000000000000
"Atlixco",12.0000000000000000
"Augusta-Richmond County",8.0000000000000000
"Aurora",6.0000000000000000
"Avellaneda",11.0000000000000000
"Bag",5.0000000000000000
"Baha Blanca",7.0000000000000000
"Baicheng",9.0000000000000000
"Baiyin",8.0000000000000000
"Baku",9.0000000000000000
"Balaiha",7.0000000000000000
"Balikesir",13.0000000000000000
"Balurghat",5.0000000000000000
"Bamenda",7.0000000000000000
"Bandar Seri Begawan",10.0000000000000000
"Banjul",13.0000000000000000
"Barcelona",7.0000000000000000
"Basel",7.0000000000000000
"Bat Yam",5.0000000000000000
"Batman",13.0000000000000000
"Batna",7.0000000000000000
"Battambang",7.0000000000000000
"Baybay",7.0000000000000000
"Bayugan",12.0000000000000000
"Bchar",9.0000000000000000
"Beira",14.0000000000000000
"Bellevue",9.0000000000000000
"Belm",11.0000000000000000
"Benguela",7.0000000000000000
"Beni-Mellal",7.0000000000000000
"Benin City",8.0000000000000000
"Bergamo",15.0000000000000000
"Berhampore (Baharampur)",11.0000000000000000
"Bern",7.0000000000000000
"Bhavnagar",12.0000000000000000
"Bhilwara",8.0000000000000000
"Bhimavaram",12.0000000000000000
"Bhopal",18.0000000000000000
"Bhusawal",9.0000000000000000
"Bijapur",14.0000000000000000
"Bilbays",12.0000000000000000
"Binzhou",10.0000000000000000
"Birgunj",7.0000000000000000
"Bislig",6.0000000000000000
"Blumenau",11.0000000000000000
"Boa Vista",17.0000000000000000
"Boksburg",11.0000000000000000
"Botosani",10.0000000000000000
"Botshabelo",8.0000000000000000
